date,crise financeira,crise econômica,pânico financeiro,colapso econômico,crash bolsa,queda ibovespa,volatilidade bolsa,bear market brasil,fuga capitais,bolsa despenca,risco default brasil,rebaixamento rating brasil,dívida pública brasil,recessão brasil,desemprego brasil,desvalorização real,dólar dispara,crise bancária,corrida bancária,alta juros brasil,investir agora,vender ações,mercado vai cair,proteção carteira,como proteger investimentos
2012-05-01,4,3,0,0,1,0,0,0,0,0,0,0,0,0,20,19,0,0,0,12,0,20,0,0,0
2012-06-01,4,3,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,8,0,0,0
2012-07-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,12,0,0,0
2012-08-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,11,0,0,0
2012-09-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,0,6,11,0,0,0
2012-10-01,4,3,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,5,12,0,0,0
2012-11-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,0,0,0,0,10,0,0,0
2012-12-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0
2013-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0
2013-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,15,0,0,0
2013-03-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,8,0,0,0
2013-04-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,11,0,0,0
2013-05-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,0,0,0,14,0,0,0
2013-06-01,4,2,0,0,0,0,0,0,0,0,0,0,1,1,17,35,0,0,0,0,6,10,0,0,0
2013-07-01,2,1,0,0,0,0,0,0,0,0,0,0,1,0,11,11,0,0,0,0,5,12,0,0,0
2013-08-01,3,1,0,0,0,0,0,0,8,0,0,0,0,1,16,21,0,0,0,0,5,12,0,0,0
2013-09-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,0,0,0,0,14,0,0,0
2013-10-01,3,1,0,0,0,0,0,0,0,0,0,0,1,0,15,11,0,0,0,13,6,14,0,0,0
2013-11-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,13,0,0,0
2013-12-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,12,0,0,0
2014-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,13,0,0,0
2014-02-01,2,1,0,0,0,0,0,0,0,0,0,0,1,0,12,13,0,0,0,10,0,12,0,0,0
2014-03-01,3,2,0,0,0,0,0,0,0,0,0,0,0,1,13,11,0,0,0,7,0,15,0,0,0
2014-04-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,10,4,11,0,0,0
2014-05-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,6,10,0,0,0
