date,open,high,low,close,volume,return,realized_vol_5d,realized_vol_21d,realized_vol_30d,intraday_range
2008-01-02,63885.0,63906.0,62659.0,62815.0,2980200,,,,,1.985194619119637
2008-01-03,62814.0,63129.0,62556.0,62892.0,1895800,0.0012258218578364843,,,,0.9110856706735356
2008-01-04,62898.0,63436.0,60574.0,61037.0,2613800,-0.0294950073141258,,,,4.688959155921818
2008-01-07,61054.0,61505.0,60092.0,60772.0,2223400,-0.0043416288480757625,,,,2.32508392022642
2008-01-08,60771.0,62650.0,60771.0,62081.0,3314000,0.021539524781149177,,,,3.02669093603518
2008-01-09,62078.0,62674.0,61487.0,62674.0,3480400,0.009552036855076329,30.172411414046422,,,1.8939273063790407
2008-01-10,62677.0,63615.0,62594.0,63515.0,3227000,0.01341864249928193,31.761640295082355,,,1.6074942926867668
2008-01-11,63514.0,63514.0,61942.0,61942.0,2920600,-0.024765803353538507,28.837455765175367,,,2.537857996189984
2008-01-14,61950.0,62536.0,61643.0,62188.0,2829000,0.003971457169610337,28.083543439335617,,,1.4359683540232844
2008-01-15,62180.0,62180.0,59897.0,59907.0,4080800,-0.03667910207757119,35.56463022265551,,,3.810906905703841
2008-01-16,59906.0,59906.0,58077.0,58777.0,3455400,-0.01886257031732519,32.90478869372068,,,3.1117614032699867
2008-01-17,58773.0,59643.0,56734.0,57037.0,3594000,-0.029603416302295127,24.618286656610387,,,5.1001981170117645
2008-01-18,57039.0,58291.0,56241.0,57506.0,5810600,0.008222732612163997,31.71461308936002,,,3.564845407435746
2008-01-21,57503.0,57503.0,53487.0,53709.0,3566400,-0.06602789274162701,42.874813564454556,,,7.477331545923402
2008-01-22,53705.0,56541.0,53610.0,56097.0,3650200,0.04446182204099869,65.79897273696514,,,5.224878335739879
2008-01-23,56098.0,56098.0,53011.0,54235.0,3719400,-0.03319250583810185,67.45646474166412,,,5.691896376878399
2008-01-24,54242.0,57675.0,54242.0,57463.0,3801800,0.059518760947727456,83.3020895669232,,,5.974279101334772
2008-01-28,57457.0,58721.0,56360.0,58594.0,3928600,0.01968223030471772,84.18229762556652,,,4.029422807796021
2008-01-29,58597.0,59715.0,58597.0,59530.0,3441800,0.01597433184285091,56.111143266099425,,,1.8780446833529314
2008-01-30,59522.0,60289.0,58752.0,60289.0,4314400,0.01274987401310268,52.24352799154395,,,2.5493871187115396
2008-01-31,60288.0,60288.0,57886.0,59490.0,6158800,-0.013252832191610442,41.47682566873737,,,4.037653387123886
2008-02-01,59491.0,61187.0,59491.0,61080.0,3601800,0.026727181038830095,24.195768087877628,47.03540007815255,,2.7766863130320893
2008-02-06,61076.0,61076.0,58742.0,58969.0,0,-0.03456123117223309,39.61104281698647,48.443001429970714,,3.958011836727772
2008-02-07,58965.0,59581.0,58030.0,58965.0,3993400,-6.783225084361355e-05,37.506309800868635,47.44811732536803,,2.63037395064869
2008-02-08,58967.0,59520.0,58843.0,59076.0,2023200,0.0018824726532689073,35.618049265472344,47.44544362426464,,1.145981447626786
2008-02-11,59081.0,60805.0,59081.0,60643.0,2569600,0.02652515403886513,39.938317636162694,47.77311058342799,,2.8428672723974735
2008-02-12,60645.0,62828.0,60645.0,61805.0,13473600,0.019161321174743895,37.526333587047496,48.14699720664564,,3.532076692824205
2008-02-13,61802.0,63002.0,61802.0,62591.0,4423000,0.012717417684653398,17.938311409871194,48.12256707469555,,1.917208544359413
2008-02-14,62595.0,63224.0,61737.0,61819.0,2359200,-0.012334041635378878,24.18271633165138,47.51367410356449,,2.4054093401704977
2008-02-15,61803.0,61803.0,60717.0,61272.0,2353000,-0.008848412300425434,27.33238792020088,47.59747698467732,,1.7724245985115552
2008-02-18,61292.0,62883.0,61292.0,62801.0,1497200,0.024954302128215256,26.655896841672334,46.43242101020944,42.57109573996723,2.5333991496950685
2008-02-19,62801.0,63590.0,62180.0,62297.0,2089200,-0.008025349914810298,25.902113446624092,45.948773347942385,42.6387837333377,2.2633513652342807
2008-02-20,62292.0,63780.0,61634.0,63747.0,2756400,0.023275599146026282,29.55955167079045,44.83358511495676,42.203956227705206,3.3664329301771065
