title,url,date,source,keyword
Crise na FMS: ex-gerente financeira volta ao cargo após nova exoneração; hospital também passa por mudança,https://g1.globo.com/pi/piaui/noticia/2024/01/03/crise-na-fms-ex-gerente-financeira-volta-ao-cargo-apos-nova-exoneracao-hospitais-tambem-passam-por-mudancas.ghtml,2024-01-03,g1,crise financeira
Aniversário de SP: projeto de energia solar quer combater crises climática e econômica em periferia de São Paulo,https://g1.globo.com/sp/sao-paulo/noticia/2024/01/25/aniversario-de-sp-projeto-de-energia-solar-quer-combater-crises-climatica-e-economica-na-periferia-de-sao-paulo.ghtml,2024-01-25,g1,crise econômica
"Bebês são transferidos de helicóptero após hospital em crise financeira fechar UTI neonatal, no PR; VÍDEO",https://g1.globo.com/pr/norte-noroeste/noticia/2024/02/09/bebes-sao-transferidos-de-helicoptero-apos-hospital-em-crise-financeira-fechar-uti-neonatal-no-pr-video.ghtml,2024-02-09,g1,crise financeira
"Prefeito decreta extinção de cargos temporários e redução do próprio salário para conter crise financeira em Três Corações, MG",https://g1.globo.com/mg/sul-de-minas/noticia/2024/02/09/prefeito-decreta-extincao-de-cargos-temporarios-e-reducao-do-proprio-salario-para-conter-crise-financeira-em-tres-coracoes-mg.ghtml,2024-02-09,g1,crise financeira
"Milei pede desculpas ao Papa por críticas ao pontífice na campanha eleitoral de 2023, diz jornal",https://g1.globo.com/jornal-nacional/noticia/2024/02/12/milei-pede-desculpas-ao-papa-por-criticas-ao-pontifice-na-campanha-eleitoral-de-2023-diz-jornal.ghtml,2024-02-12,g1,crise econômica
Crise econômica na Argentina reduz a importação de produtos brasileiros,https://g1.globo.com/jornal-nacional/noticia/2024/02/15/crise-economica-na-argentina-reduz-a-importacao-de-produtos-brasileiros.ghtml,2024-02-15,g1,crise econômica
MP aponta má gestão financeira como causa da crise na saúde de Teresina,https://g1.globo.com/pi/piaui/noticia/2024/03/15/mp-aponta-ma-gestao-financeira-como-causa-da-crise-na-saude-de-teresina.ghtml,2024-03-15,g1,crise financeira
"Perto de ser vendida, Avibras vive crise financeira há pelo menos dois anos; relembre",https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2024/04/07/perto-de-ser-vendida-avibras-vive-crise-financeira-ha-ao-menos-dois-anos-relembre.ghtml,2024-04-07,g1,crise financeira
Irmãs separadas há 82 anos por morte do pai e crise financeira se reencontram em Cuiabá e cumprem promessa de infância,https://g1.globo.com/mt/mato-grosso/noticia/2024/04/19/irmas-separadas-ha-82-anos-por-morte-do-pai-e-crise-financeira-se-reencontram-em-cuiaba-e-cumprem-promessa-de-infancia.ghtml,2024-04-19,g1,crise financeira
Como a crise econômica fez disparar o uso das criptomoedas na Argentina,https://g1.globo.com/economia/noticia/2024/04/27/como-a-crise-economica-fez-disparar-o-uso-das-criptomoedas-na-argentina.ghtml,2024-04-27,g1,crise econômica
