title,url,date,source,keyword
"Pânico vai ampliar sangria nas Bolsas, revela pesquisa",http://www1.folha.uol.com.br/fsp/dinheiro/fi2107200207.htm,2002-07-21,folha,recessão brasil
Opinião Econômica: A maré começa a baixar,http://www1.folha.uol.com.br/fsp/dinheiro/fi2107200202.htm,2002-07-21,folha,recessão brasil
"""Exuberância irracional está longe do fim""",http://www1.folha.uol.com.br/fsp/dinheiro/fi2107200213.htm,2002-07-21,folha,recessão brasil
Entrevista: Robert Brenner: Crise do dólar pode provocar alta de juros e afetar mais países pobres,http://www1.folha.uol.com.br/fsp/dinheiro/fi2107200216.htm,2002-07-21,folha,recessão brasil
"Pânico vai ampliar sangria nas Bolsas, revela pesquisa",http://www1.folha.uol.com.br/folha/dinheiro/ult91u51668.shtml,2002-07-21,folha,recessão brasil
"""Exuberância irracional está longe do fim"", diz economista",http://www1.folha.uol.com.br/folha/dinheiro/ult91u51672.shtml,2002-07-21,folha,recessão brasil
"Para economista, crise do dólar pode provocar alta dos juros nos EUA",http://www1.folha.uol.com.br/folha/dinheiro/ult91u51673.shtml,2002-07-21,folha,recessão brasil
Mercado: Comércio com a Argentina volta aos níveis pré-FHC,http://www1.folha.uol.com.br/fsp/dinheiro/fi2207200202.htm,2002-07-22,folha,recessão brasil
Arrecadação de ICMS cai R$ 580 mi em São Paulo,http://www1.folha.uol.com.br/folha/brasil/ult96u34870.shtml,2002-07-22,folha,recessão brasil
Comércio com a Argentina volta aos níveis pré-FHC,http://www1.folha.uol.com.br/folha/dinheiro/ult91u51698.shtml,2002-07-22,folha,recessão brasil
Lucro líquido da Endesa foi de 837 mi de euros no 1º semestre,http://www1.folha.uol.com.br/folha/dinheiro/ult91u51868.shtml,2002-07-23,folha,recessão brasil
Editoriais: A CRISE NOS BANCOS,http://www1.folha.uol.com.br/fsp/opiniao/fz2407200201.htm,2002-07-24,folha,recessão brasil
"Em transe: Brasil pode ir ao FMI em breve, diz Armínio",http://www1.folha.uol.com.br/fsp/dinheiro/fi2507200216.htm,2002-07-25,folha,recessão brasil
Painel S.A.,http://www1.folha.uol.com.br/fsp/dinheiro/fi2507200201.htm,2002-07-25,folha,recessão brasil
Análise: Crise das Bolsas pode minar confiança de empresários,http://www1.folha.uol.com.br/fsp/dinheiro/fi2507200215.htm,2002-07-25,folha,recessão brasil
Países sul-americanos buscam integração na cúpula de Guayaquil,http://www1.folha.uol.com.br/folha/mundo/ult94u43647.shtml,2002-07-25,folha,recessão brasil
"Para FGV, Brasil está na ""ante-sala"" da recessão",http://www1.folha.uol.com.br/folha/dinheiro/ult91u52113.shtml,2002-07-25,folha,recessão brasil
Análise: Estados Unidos abandonam a América Latina,http://www1.folha.uol.com.br/fsp/dinheiro/fi2607200222.htm,2002-07-26,folha,recessão brasil
Painel do Leitor,http://www1.folha.uol.com.br/fsp/opiniao/fz2607200211.htm,2002-07-26,folha,recessão brasil
Análise: Estados Unidos abandonam a América Latina,http://www1.folha.uol.com.br/folha/dinheiro/ult91u52138.shtml,2002-07-26,folha,recessão brasil
Tendências internacionais: Crise financeira mundial só acaba após deflação de ativos,http://www1.folha.uol.com.br/fsp/dinheiro/fi2807200203.htm,2002-07-28,folha,recessão brasil
TENDÊNCIAS/DEBATESRudiger Dornbusch: Outro choque do petróleo?,http://www1.folha.uol.com.br/fsp/opiniao/fz2807200208.htm,2002-07-28,folha,recessão brasil
"No Planalto: Seja quem for o eleito,  vai rolar a festa",http://www1.folha.uol.com.br/fsp/brasil/fc2807200222.htm,2002-07-28,folha,recessão brasil
"Para Piva, país não pode ficar parado até eleição",http://www1.folha.uol.com.br/fsp/dinheiro/fi3007200210.htm,2002-07-30,folha,recessão brasil
"Argentina ""contagiou"" Uruguai e influenciou Brasil, diz Duhalde",http://www1.folha.uol.com.br/folha/dinheiro/ult91u52475.shtml,2002-07-31,folha,recessão brasil
Economia obrigou Alfonsín a renunciar cinco meses antes,http://www1.folha.uol.com.br/folha/brasil/ult96u35311.shtml,2002-08-01,folha,recessão brasil
"Citibank pode obter controle do ""La Nación""",http://www1.folha.uol.com.br/fsp/dinheiro/fi0108200246.htm,2002-08-01,folha,recessão brasil
Painel S.A.,http://www1.folha.uol.com.br/fsp/dinheiro/fi0108200201.htm,2002-08-01,folha,recessão brasil
"Para Ocampo, FMI reconhece erros cometidos",http://www1.folha.uol.com.br/fsp/dinheiro/fi0208200239.htm,2002-08-02,folha,recessão brasil
América Latina vai viver recessão,http://www1.folha.uol.com.br/fsp/dinheiro/fi0208200238.htm,2002-08-02,folha,recessão brasil
"América Latina vai viver recessão, afirma Cepal",http://www1.folha.uol.com.br/folha/dinheiro/ult91u52667.shtml,2002-08-02,folha,recessão brasil
