date,crisis_probability,regime
0,0.9991810146061086,1
1,0.9999999862809846,1
2,0.9999999822489612,1
3,0.9999999994120916,1
4,0.9999999827246768,1
5,0.9999999974714001,1
6,0.9999999995278318,1
7,0.9999996261447576,1
8,0.9999986078217435,1
9,0.9996354046478356,1
10,0.991945901715963,1
11,0.968382854558694,1
12,0.9635400838895835,1
13,0.9586952469256161,1
14,0.9913398293670002,1
15,0.9983759039442762,1
16,0.9999972070840683,1
17,0.9999948309959069,1
18,0.9999986201957275,1
19,0.9999987280326093,1
20,0.9999933912489436,1
21,0.9999999902773444,1
22,0.9999991072292613,1
23,0.9999982258165581,1
24,0.9997178999775485,1
25,0.999039185092775,1
26,0.9985110490593302,1
27,0.999924813608352,1
28,0.9999383905617126,1
29,0.9999927531544328,1
30,0.9999689534295333,1
31,0.9999999924972349,1
32,0.9999999996375988,1
33,0.9999999999999979,1
34,0.9999999999999981,1
35,0.9999999999999982,1
36,0.9999999999999982,1
37,0.9999999999999982,1
38,0.9999999999999982,1
39,0.9999999999999982,1
40,0.9999999999999969,1
41,0.999999999999963,1
42,0.9999999999999186,1
43,0.9999998935398033,1
44,0.9999921333664136,1
45,0.9940137499162324,1
46,0.98027127224236,1
47,0.4222591112694432,0
48,0.13076753978651903,0
49,0.00510615202418941,0
50,0.00021038471230645214,0
51,0.00017293874202029978,0
52,0.0031228209423684538,0
53,0.0050869984980092065,0
54,0.0030213479962444057,0
55,0.004742117370395333,0
56,0.022051461553983822,0
57,0.10980142469101734,0
58,0.5889806144849584,1
59,0.5894040050674099,1
60,0.11536547917064882,0
61,0.019557750485287368,0
62,0.004611018929119818,0
63,0.0033423639693623683,0
64,0.0066418937717638085,0
65,0.005159929274206654,0
66,0.0003192438009894524,0
67,7.086853712782045e-05,0
68,0.00028264247640212315,0
69,0.004915864968119323,0
70,0.11308339702084355,0
71,0.17378803798385692,0
72,0.23727601935384726,0
73,0.9542678315489185,1
74,0.9951656482381406,1
75,0.9996055652223447,1
76,0.9999196524125138,1
77,0.9998392811803335,1
78,0.9973974266519468,1
79,0.980076276050028,1
80,0.8285483664984974,1
81,0.061870384442652755,0
82,0.006042276253796019,0
83,0.0007826773823748952,0
84,0.0014451522051983383,0
85,0.0010566629934912531,0
86,6.730485476066705e-05,0
87,5.8486098362842355e-05,0
88,0.00012304394939463212,0
89,0.00030388191213645224,0
90,0.0035156419354901644,0
91,0.005204081840080407,0
92,0.00048708136724495634,0
93,0.00011672349198205344,0
94,8.499449424121663e-05,0
95,3.875824500349702e-05,0
96,6.233496090240431e-05,0
97,0.00014275710594234835,0
98,3.3281790438473256e-05,0
99,3.201167200084341e-05,0
100,3.20553902080235e-05,0
101,3.472789833330854e-05,0
102,0.00015447751271343194,0
103,0.0001969715690079913,0
104,8.082778001211836e-05,0
105,3.921096046701746e-05,0
106,4.0901137782347957e-05,0
107,3.2806900537288305e-05,0
108,0.00010974968203077917,0
109,0.00015500807138104866,0
110,3.5228783478533626e-05,0
111,3.0886080370865774e-05,0
112,3.0801128004650674e-05,0
113,3.0914222846542315e-05,0
114,3.4756614260841855e-05,0
115,0.00012322806398640333,0
116,3.878186325501673e-05,0
117,3.505585216192452e-05,0
118,3.48809274106047e-05,0
119,3.344142503460633e-05,0
120,3.163993516538384e-05,0
121,0.00010777884521056061,0
122,0.00014843442438255657,0
123,3.671662517804768e-05,0
124,3.0306958200351036e-05,0
