date,dict_fsi,ml_fsi,news_fsi,dict_fsi_smoothed,ml_fsi_smoothed,news_fsi_smoothed
2008-01-28,0.0149514079242461,,,0.19734753834147245,0.5525594448991492,0.1867650845541643
2008-02-25,0.1669573884874159,0.5764119135225304,,0.20586700067752153,0.5525594458767663,0.18676508462351324
2008-03-31,0.3413904809369549,0.6151422861439103,,0.21620387557928558,0.5363103792303259,0.18676508469286218
2008-04-28,0.1619735858460004,0.4950445022896723,,0.22069346306660473,0.46635848417387227,0.18676508476221115
2008-05-26,0.1370545726389235,0.3721753626607414,,0.22792577209405035,0.3768647517599957,0.1867650848315601
2008-06-30,0.0760029902815848,0.1768082752887791,,0.23940254497121338,0.29056558189270076,0.18676508490090904
2008-07-28,0.0872165462247695,0.3257279884319414,,0.2585114775106084,0.28176154484232036,0.18676508497025798
2008-08-25,,0.2362223647086761,,0.28562135146864953,0.2430061535696732,0.18676508503960693
2008-09-01,0.3531024171442811,,,0.31273122542669063,0.20887209726424077,0.18676508510895587
2008-09-29,0.7450784948916023,0.0653588135982161,,0.33795541871976,0.17473804095880838,0.18676508517830484
2008-10-27,0.6491402940443559,0.1843441761692701,,0.34416347500177935,0.2151166292014174,0.18676508524765378
2008-11-03,,,0.227930600672076,0.33612649995165206,0.27645840131345095,0.18676508531700273
2008-11-10,,,0.2173022843489882,0.32808952490152476,0.3378001734254846,0.1853276175007762
2008-11-17,,,0.2741703108438312,0.32005254985139747,0.39914194553751814,0.18277361919691054
2008-11-24,,0.5038007248724246,0.1896283004010858,0.3120155748012701,0.46048371764955176,0.17702811940110272
2008-12-01,0.4186394218788936,,0.2702543430402504,0.30397859975114283,0.4923165524617983,0.17084263107031006
2008-12-08,,,0.1572364949094374,0.29058598157736065,0.5241493872740448,0.16118576296250903
2008-12-15,,,0.1330156731090986,0.2771933634035785,0.5559822220862914,0.15166680022804635
2008-12-22,,,0.0926709260585872,0.26380074522979635,0.587815056898538,0.14279912036776554
2008-12-29,0.1083977074507849,0.5974388622379276,0.0856967233305975,0.2504081270560141,0.6196478917107846,0.13568187812227456
2009-01-26,0.1943683030152005,0.6845723883579345,,0.2436486126148975,0.6666102310807144,0.1303100786627093
2009-02-23,0.3538499875404934,0.7352498800220278,,0.23919091100175055,0.7013361717046451,0.12493827920314404
2009-03-30,0.2354846748068776,0.7367388313004172,,0.22937764779891642,0.7129590044155139,0.11956647974357877
2009-04-27,0.2080737602790929,0.7912412462294126,,0.21927913409295294,0.7083822548944902,0.11419468028401351
2009-05-25,,0.576514120872923,,0.20970400738265674,0.6473592978262672,0.10882288082444824
2009-06-01,0.1632195365063543,,,0.20012888067236054,0.6345983518880435,0.10345108136488299
2009-06-29,0.1221031647146772,0.6117700627996784,,0.19227773667571557,0.6218374059498198,0.09807928190531773
2009-07-27,0.1881385497134313,0.5954898855108444,,0.18770434663900493,0.6159346576766486,0.09270748244575248
2009-08-10,,,0.0251021856169402,0.18311067559726862,0.6239595451896953,0.08733568298618723
2009-08-17,,,0.0,0.1785170045555323,0.6319844327027421,0.08413702892306613
2009-08-24,,,0.0524863881081478,0.17392333351379596,0.6400093202157887,0.08387637456755914
2009-08-31,0.1682033391477697,0.6613380859427735,0.0628074293021327,0.16932966247205963,0.6480342077288355,0.0847118341611683
2009-09-07,,,0.0868304904912841,0.16478860038301354,0.6469960658862484,0.08631217856108735
2009-09-14,,,0.0827521421388477,0.16024753829396748,0.6459579240436611,0.08789442391093458
2009-09-21,,,0.0255155181539914,0.15570647620492142,0.644919782201074,0.08965623374667156
2009-09-28,0.1619735858460004,0.6399611455819145,0.1550311509372929,0.15116541411587536,0.6438816403584869,0.09365778755803389
2009-10-05,,,0.157881673646077,0.14611951777279583,0.6455142655416727,0.0955162311838864
2009-10-12,,,0.0642824346533225,0.1410736214297163,0.6471468907248584,0.09519692199312017
2009-10-19,,,0.1692552108696181,0.1360277250866368,0.6487795159080443,0.09595712269149462
2009-10-26,0.1569897832045851,0.639503009117934,0.0663736595293977,0.1309818287435573,0.65041214109123,0.09415781107534565
2009-11-02,,,0.0455802844097073,0.12472113801923446,0.6594764175364428,0.09332870045349308
2009-11-09,,,0.1056075753316327,0.1184604472949116,0.6685406939816556,0.09416692743758275
2009-11-16,,,0.1307951496038649,0.11219975657058875,0.6776049704268684,0.09460565588223184
2009-11-23,,,0.1483726989766012,0.10593906584626592,0.6866692468720811,0.09378067531155447
2009-11-30,0.0224271118863692,0.6958108528441845,0.0928083216297373,0.09967837512194307,0.6957335233172939,0.09104938367167321
2009-12-07,,,0.0834314596498755,0.09702598049269173,0.7047451204038266,0.08825667128432024
2009-12-14,,,0.0879870539996676,0.0943735858634404,0.7137567174903594,0.08563245153989311
2009-12-21,,,0.0793045754473954,0.09172119123418906,0.7227683145768922,0.08292601090619867
2009-12-28,0.0548218290555694,0.7672904182631299,0.0611224563444374,0.08906879660493773,0.7317799116634249,0.08034602798625158
2010-01-25,,0.7164141653480559,0.0707106781186547,0.08801602888275194,0.7166006105343244,0.07843731725865387
2010-02-01,0.0099676052828307,,0.0,0.08696326116056614,0.7015483218574725,0.07679841476917346
2010-02-08,,,0.1443375672974064,0.08950685047909171,0.6864960331806205,0.07784125328035728
2010-02-15,,,0.1111111111111111,0.09205043979761728,0.6714437445037685,0.07656209214833824
2010-02-22,,0.6625273620349597,0.0824786098842322,0.09459402911614286,0.6563914558269166,0.07407650610554903
2010-03-01,0.1233491153750311,,0.0,0.09713761843466842,0.6371591906655648,0.07129752512403802
2010-03-08,,,0.0,0.09845690619365216,0.6179269255042131,0.07100819834887619
2010-03-15,,,0.111535507165041,0.0997761939526359,0.5986946603428613,0.07319842271377142
2010-03-22,,,0.0824786098842322,0.10109548171161964,0.5794623951815097,0.07404994586292014
2010-03-29,0.0398704211313232,0.5441312176401156,0.0,0.10241476947060338,0.560230130020158,0.07460714661030168
2010-04-05,,,0.0,0.10665541434957648,0.5519649613060091,0.0777695709760192
2010-04-12,,,0.3285328532178296,0.11089605922854961,0.5436997925918604,0.08364764836292607
2010-04-19,,,0.2011783272091233,0.11513670410752272,0.5354346238777117,0.0809745245786981
2010-04-26,0.1544978818838774,0.5329942247839432,0.0,0.11937734898649585,0.5271694551635628,0.07410397735912139
2010-05-03,,,0.0,0.12197756396953302,0.5149362662067148,0.06982108347840002
2010-05-10,,,0.0340206908719885,0.12457777895257019,0.5027030772498668,0.06797628760839414
2010-05-17,,,0.0,0.1271779939356074,0.49046988829301885,0.06731719480587646
2010-05-24,,,0.0,0.12977820891864456,0.47823669933617086,0.0690087661661962
2010-05-31,0.2678793919760777,0.4432520731626235,0.2449489742783178,0.13237842390168172,0.46600351037932286,0.07311007004754998
2010-06-07,,,0.0,0.12864958232948442,0.4692693315653805,0.07121089284644999
2010-06-14,,,0.2373742741239787,0.12492074075728712,0.47253515275143804,0.07179834542670382
2010-06-21,,,0.0,0.12119189918508982,0.47580097393749565,0.06660401077246886
2010-06-28,0.0573137303762771,0.4900582633080029,0.0,0.11746305761289251,0.47906679512355327,0.06373543807847838
2010-07-05,,,0.1749635530559413,0.11654370514804115,0.47484487497469563,0.0630924589438433
2010-07-12,,,0.0,0.11562435268318977,0.470622954825838,0.05854302534619262
2010-07-19,,,0.0510310363079828,0.1147050002183384,0.46640103467698035,0.05603787016073758
2010-07-26,0.0984301021679541,0.4571768673332649,0.0,0.11378564775348703,0.46217911452812266,0.053707549847551446
2010-08-02,,,0.0,0.11358353087616267,0.4613648859141768,0.05325265677913123
2010-08-09,,,0.0314037146510663,0.11338141399883832,0.46055065730023087,0.05465730643167361
2010-08-16,,,0.1767766952966369,0.11317929712151396,0.45973642868628495,0.05687395401910231
2010-08-23,,,0.0,0.11297718024418962,0.458922200072339,0.05490368806546844
2010-08-30,0.1009220034886618,0.4466888503116282,0.0907218423253028,0.11277506336686527,0.4581079714583931,0.05485061760349975
2010-09-06,,,0.0824786098842322,0.11312658597557426,0.46507281511979653,0.05354495095463841
2010-09-13,,,0.0,0.11347810858428327,0.4720376587811999,0.05122894269828707
2010-09-20,,,0.0,0.11382963119299228,0.47900250244260334,0.05070181058932338
2010-09-27,0.181908796411662,0.5050435958463148,0.0,0.11418115380170127,0.48596734610400677,0.05194514757098259
2010-10-04,,,0.0,0.11136921502321337,0.4799368354311522,0.05500237003549348
2010-10-11,,,0.0,0.1085572762447255,0.4739063247582976,0.059980233891839575
2010-10-18,,,0.0,0.1057453374662376,0.46787581408544304,0.06705256240180488
2010-10-25,,0.4480828429950356,0.1461158222092877,0.1029333986877497,0.46184530341258845,0.07646631595753482
2010-11-01,0.1171193620732619,,0.0736280405864602,0.10012145990926183,0.4651902230288773,0.08344796114154046
2010-11-08,,,0.1782864518731355,0.09651557341478983,0.4685351426451662,0.09077251056531704
2010-11-15,,,0.1018180650390787,0.09290968692031787,0.47188006226145507,0.09504113898187212
2010-11-22,,,0.1095776161645488,0.08930380042584589,0.4752249818777439,0.09907312223774636
2010-11-29,0.0,0.4913861658790162,0.1337511966611443,0.08569791393137391,0.4785699014940328,0.10273829646660813
