date,stress_sum,stress_mean,article_count,stress_articles,financial_terms,stress_terms,negative_terms,sources,fsi_raw,fsi_proportion,news_fsi
2002-06-17,5.82842712474619,0.4163162231961564,14,4,12,7,5,folha,0.4163162231961564,0.2857142857142857,0.1699603864122029
2002-06-24,6.878315177510849,0.6253013797737136,11,4,10,5,7,folha,0.6253013797737136,0.36363636363636365,0.25527821931731337
2002-07-01,0.0,0.0,7,0,2,1,0,folha,0.0,0.0,0.0
2002-07-08,0.0,0.0,6,0,1,0,2,folha,0.0,0.0,0.0
2002-07-15,10.0,1.0,10,6,9,7,2,folha,1.0,0.6,0.4082482904638631
2002-07-22,5.656854249492381,0.3535533905932738,16,3,7,5,1,folha,0.3535533905932738,0.1875,0.14433756729740646
2002-07-29,0.0,0.0,11,0,2,2,1,folha,0.0,0.0,0.0
2002-08-05,3.1462643699419726,0.2621886974951644,12,2,5,4,1,folha,0.2621886974951644,0.16666666666666666,0.10703808753134779
2002-08-12,0.0,0.0,15,0,8,2,2,folha,0.0,0.0,0.0
2002-08-19,0.0,0.0,7,0,2,2,1,folha,0.0,0.0,0.0
2002-08-26,2.414213562373095,0.40236892706218247,6,2,5,4,1,folha,0.40236892706218247,0.3333333333333333,0.1642664266089148
2002-09-02,8.22677276241436,0.5484515174942907,15,4,12,6,3,folha,0.5484515174942907,0.26666666666666666,0.22390439441935564
2002-09-09,1.7320508075688772,0.10188534162169866,17,1,8,4,4,folha,0.10188534162169866,0.058823529411764705,0.04159451654038515
2002-09-16,5.414213562373095,0.4164779663363919,13,4,7,6,5,folha,0.4164779663363919,0.3076923076923077,0.1700264177726983
2002-09-23,0.0,0.0,12,0,5,3,1,folha,0.0,0.0,0.0
2002-09-30,0.0,0.0,9,0,1,3,1,folha,0.0,0.0,0.0
2002-10-07,14.949382989376325,0.597975319575053,25,10,24,9,4,folha,0.597975319575053,0.4,0.24412240195609758
2002-10-14,27.459972868926734,0.2921273709460291,94,19,75,17,32,folha,0.2921273709460291,0.20212765957446807,0.11926049978641914
2002-10-21,13.974691494688162,0.1914341300642214,73,10,71,13,13,folha,0.1914341300642214,0.136986301369863,0.0781526563351552
2002-10-28,29.151587847783887,0.32034711920641634,91,20,74,8,26,folha,0.32034711920641634,0.21978021978021978,0.13078116377104282
2002-11-04,53.01507764612646,0.5639901877247495,94,33,106,18,38,folha,0.5639901877247495,0.35106382978723405,0.23024802997702218
2002-11-11,23.763198241767938,0.32552326358586214,73,15,82,8,20,folha,0.32552326358586214,0.2054794520547945,0.1328943158651457
2002-11-18,44.34168301191633,0.4183177642633616,106,30,105,9,41,folha,0.4183177642633616,0.2830188679245283,0.17077751213118264
2002-11-25,30.46477407515057,0.23255552729122572,131,19,105,21,29,folha,0.23255552729122572,0.1450381679389313,0.09494039645456515
2002-12-02,42.43681492018932,0.30097031858290296,141,26,82,36,47,folha,0.30097031858290296,0.18439716312056736,0.12287061804183437
2002-12-09,31.434148912569587,0.2213672458631661,142,21,114,14,39,folha,0.2213672458631661,0.14788732394366197,0.09037279968833123
2002-12-16,35.566316861202296,0.280049739064585,127,23,123,13,34,folha,0.280049739064585,0.18110236220472442,0.11432982721796776
2002-12-23,38.38817609920224,0.39575439277528085,97,27,93,18,35,folha,0.39575439277528085,0.27835051546391754,0.16156605429407261
2002-12-30,5.82842712474619,0.18213834764831843,32,5,27,8,3,folha,0.18213834764831843,0.15625,0.07435766905533878
2003-06-02,1.4142135623730951,0.15713484026367724,9,1,8,0,1,folha,0.15713484026367724,0.1111111111111111,0.06415002990995843
2003-06-09,8.64575131106459,0.37590223091585173,23,5,17,5,7,folha,0.37590223091585173,0.21739130434782608,0.15346144315294877
2003-06-16,6.414213562373095,0.29155516192604974,22,4,20,8,4,folha,0.29155516192604974,0.18181818181818182,0.11902689643222458
2003-06-23,3.449489742783178,0.22996598285221187,15,2,6,2,6,folha,0.22996598285221187,0.13333333333333333,0.09388321936425754
2003-06-30,1.4142135623730951,0.23570226039551587,6,1,4,1,0,folha,0.23570226039551587,0.16666666666666666,0.09622504486493764
2003-07-07,5.732050807568877,0.47767090063073975,12,5,9,3,5,folha,0.47767090063073975,0.4166666666666667,0.1950083285868333
2003-07-14,4.449489742783178,0.34226844175255217,13,3,8,3,3,folha,0.34226844175255217,0.23076923076923078,0.13973050622520972
2003-07-21,1.4142135623730951,0.128564869306645,11,1,1,1,2,folha,0.128564869306645,0.09090909090909091,0.052486388108147805
2003-07-28,6.576491222541475,0.5480409352117895,12,3,8,5,2,folha,0.5480409352117895,0.25,0.2237367749044298
2003-08-04,4.82842712474619,0.20993161411939956,23,4,7,3,7,folha,0.20993161411939956,0.17391304347826086,0.08570422257856425
2003-08-11,0.0,0.0,5,0,3,1,0,folha,0.0,0.0,0.0
2003-08-18,2.8284271247461903,0.09123958466923195,31,2,11,4,5,folha,0.09123958466923195,0.06451612903225806,0.03724840446384683
2003-08-25,10.146264369941973,0.24746986268151153,41,7,21,12,6,folha,0.24746986268151153,0.17073170731707318,0.10102914838105402
