date,dict_fsi,ml_fsi,news_fsi,combined_fsi
2002-06-17,,,0.1699603864122029,0.1699603864122029
2002-06-24,,,0.2552782193173133,0.2552782193173133
2002-07-01,,,0.0,0.0
2002-07-08,,,0.0,0.0
2002-07-15,,,0.4082482904638631,0.4082482904638631
2002-07-22,,,0.1443375672974064,0.1443375672974064
2002-07-29,,,0.0,0.0
2002-08-05,,,0.1070380875313477,0.1070380875313477
2002-08-12,,,0.0,0.0
2002-08-19,,,0.0,0.0
2002-08-26,,,0.1642664266089148,0.1642664266089148
2002-09-02,,,0.2239043944193556,0.2239043944193556
2002-09-09,,,0.0415945165403851,0.0415945165403851
2002-09-16,,,0.1700264177726983,0.1700264177726983
2002-09-23,,,0.0,0.0
2002-09-30,,,0.0,0.0
2002-10-07,,,0.2441224019560975,0.2441224019560975
2002-10-14,,,0.1192604997864191,0.1192604997864191
2002-10-21,,,0.0781526563351552,0.0781526563351552
2002-10-28,,,0.1307811637710428,0.1307811637710428
2002-11-04,,,0.2302480299770221,0.2302480299770221
2002-11-11,,,0.1328943158651457,0.1328943158651457
2002-11-18,,,0.1707775121311826,0.1707775121311826
2002-11-25,,,0.0949403964545651,0.0949403964545651
2002-12-02,,,0.1228706180418343,0.1228706180418343
2002-12-09,,,0.0903727996883312,0.0903727996883312
2002-12-16,,,0.1143298272179677,0.1143298272179677
2002-12-23,,,0.1615660542940726,0.1615660542940726
2002-12-30,,,0.0743576690553387,0.0743576690553387
2003-06-02,,,0.0641500299099584,0.0641500299099584
2003-06-09,,,0.1534614431529487,0.1534614431529487
2003-06-16,,,0.1190268964322245,0.1190268964322245
2003-06-23,,,0.0938832193642575,0.0938832193642575
2003-06-30,,,0.0962250448649376,0.0962250448649376
2003-07-07,,,0.1950083285868333,0.1950083285868333
2003-07-14,,,0.1397305062252097,0.1397305062252097
2003-07-21,,,0.0524863881081478,0.0524863881081478
2003-07-28,,,0.2237367749044298,0.2237367749044298
2003-08-04,,,0.0857042225785642,0.0857042225785642
2003-08-11,,,0.0,0.0
2003-08-18,,,0.0372484044638468,0.0372484044638468
2003-08-25,,,0.101029148381054,0.101029148381054
2003-09-01,,,0.1182742052086398,0.1182742052086398
2003-09-08,,,0.0679235610811324,0.0679235610811324
2003-09-15,,,0.0134267504462703,0.0134267504462703
2003-09-22,,,0.1913551140023409,0.1913551140023409
2003-09-29,,,0.1081105850026933,0.1081105850026933
2003-10-06,,,0.2241772501001929,0.2241772501001929
2003-10-13,,,0.1865220736764001,0.1865220736764001
2003-10-20,,,0.1052447111925036,0.1052447111925036
2003-10-27,,,0.0806840572897249,0.0806840572897249
2003-11-03,,,0.1597043513626789,0.1597043513626789
2003-11-10,,,0.1336207195555582,0.1336207195555582
2003-11-17,,,0.1294047245929919,0.1294047245929919
2003-11-24,,,0.1426767344059068,0.1426767344059068
2003-12-01,,,0.079734432016043,0.079734432016043
2003-12-08,,,0.0964359581020906,0.0964359581020906
2003-12-15,,,0.1027380551176804,0.1027380551176804
2003-12-22,,,0.0349268648215223,0.0349268648215223
2003-12-29,,,0.0924582668375322,0.0924582668375322
2004-01-05,,,0.0,0.0
2004-01-12,,,0.0,0.0
2004-01-19,,,0.2566001196398337,0.2566001196398337
2004-01-26,,,0.0,0.0
2004-02-02,,,0.0,0.0
2004-02-09,,,0.0,0.0
2004-02-16,,,0.0,0.0
2004-02-23,,,0.0,0.0
2004-03-01,,,0.0641500299099584,0.0641500299099584
2004-03-08,,,0.0,0.0
2004-03-15,,,0.0,0.0
2004-03-22,,,0.0,0.0
2004-03-29,,,0.1020620726159657,0.1020620726159657
2004-04-05,,,0.0,0.0
2004-04-12,,,0.0,0.0
