date,ml_fsi
2008-02-29,0.5764119135225304
2008-03-31,0.6151422861439103
2008-04-30,0.49504450228967234
2008-05-31,0.37217536266074147
2008-06-30,0.1768082752887791
2008-07-31,0.32572798843194145
2008-08-31,0.23622236470867616
2008-09-30,0.06535881359821613
2008-10-31,0.18434417616927018
2008-11-30,0.5038007248724246
2008-12-31,0.5974388622379276
2009-01-31,0.6845723883579345
2009-02-28,0.7352498800220278
2009-03-31,0.7367388313004172
2009-04-30,0.7912412462294126
2009-05-31,0.576514120872923
2009-06-30,0.6117700627996784
2009-07-31,0.5954898855108444
2009-08-31,0.6613380859427735
2009-09-30,0.6399611455819145
2009-10-31,0.639503009117934
2009-11-30,0.6958108528441845
2009-12-31,0.7672904182631299
2010-01-31,0.7164141653480559
2010-02-28,0.6625273620349597
2010-03-31,0.5441312176401156
2010-04-30,0.5329942247839432
2010-05-31,0.44325207316262355
2010-06-30,0.49005826330800295
2010-07-31,0.4571768673332649
2010-08-31,0.4466888503116282
2010-09-30,0.5050435958463148
2010-10-31,0.4480828429950356
2010-11-30,0.4913861658790162
2010-12-31,0.4227197620271157
2011-01-31,0.5021272187933459
2011-02-28,0.5017862914624751
2011-03-31,0.4894823093024105
2011-04-30,0.37666012139646415
2011-05-31,0.3395988236033892
2011-06-30,0.5073277169270938
2011-07-31,0.3912534811915647
2011-08-31,0.33002169705455275
2011-09-30,0.3552633868504425
2011-10-31,0.3343208063135358
2011-11-30,0.5023525601905885
2011-12-31,0.5454194436927858
2012-01-31,0.48442911135783057
2012-02-29,0.5363449382398
2012-03-31,0.478226810075656
2012-04-30,0.4066401629681915
2012-05-31,0.320790497868487
2012-06-30,0.4262477980451211
2012-07-31,0.4028649030458487
2012-08-31,0.4588701834844826
2012-09-30,0.4618700069711691
2012-10-31,0.4461924927522361
2012-11-30,0.5288994614652766
2012-12-31,0.5652059706039485
2013-01-31,0.5570462443646054
2013-02-28,0.49792219973915797
2013-03-31,0.5026415572063582
2013-04-30,0.43771746965903774
2013-05-31,0.3801679480193407
2013-06-30,0.4482743895406099
2013-07-31,0.4424869429983491
2013-08-31,0.4441185092654843
2013-09-30,0.5303807776981931
2013-10-31,0.5013079904951311
2013-11-30,0.48614286390862194
2013-12-31,0.473605254328467
2014-01-31,0.5506041034868101
2014-02-28,0.6024617054866381
2014-03-31,0.5536104137063332
2014-04-30,0.5137363392870619
2014-05-31,0.5649845353627735
2014-06-30,0.5905830968289326
2014-07-31,0.5846718280798406
2014-08-31,0.5746647477823594
2014-09-30,0.5775692535735891
2014-10-31,0.5241114824352506
2014-11-30,0.5742330142227847
2014-12-31,0.5105975002006946
2015-01-31,0.5745538262673359
2015-02-28,0.5435261977602718
2015-03-31,0.424216474885754
2015-04-30,0.4033299599270818
2015-05-31,0.43304451887979745
2015-06-30,0.5144698237217438
2015-07-31,0.5605247798575295
2015-08-31,0.6076021543905475
2015-09-30,0.5133729296491688
2015-10-31,0.5800591745206847
2015-11-30,0.60542949930995
2015-12-31,0.5796263231929357
2016-01-31,0.5192487659684816
2016-02-29,0.6408877957123114
2016-03-31,0.6120561320156669
2016-04-30,0.437761790076299
2016-05-31,0.40634681346625395
2016-06-30,0.49135044110494297
2016-07-31,0.5453924308679664
2016-08-31,0.4886692003170035
2016-09-30,0.5955578771276622
2016-10-31,0.6656765608495976
2016-11-30,0.6826778701105972
2016-12-31,0.6688046243029276
2017-01-31,0.584246802736555
2017-02-28,0.5514023920993638
2017-03-31,0.6148167819200132
2017-04-30,0.5535605858204541
2017-05-31,0.6351414387937908
2017-06-30,0.6669328589566541
2017-07-31,0.6593037846425852
2017-08-31,0.6458355536602965
2017-09-30,0.6173531427392335
2017-10-31,0.5673600700098673
2017-11-30,0.6162045080525543
2017-12-31,0.6087460236293379
2018-01-31,0.593976108519298
2018-02-28,0.3446255605638068
2018-03-31,0.4672045505955538
2018-04-30,0.5719475645847484
2018-05-31,0.4796709067647107
2018-06-30,0.6159962559059166
2018-07-31,0.5635475659775169
2018-08-31,0.6765724000945779
2018-09-30,0.7138614120008508
2018-10-31,0.7213781787879773
2018-11-30,0.6729345394232382
2018-12-31,0.6704152009375525
2019-01-31,0.6299094169160386
2019-02-28,0.6206773190172792
2019-03-31,0.6002945208913248
2019-04-30,0.6047513171632968
2019-05-31,0.4548350341824271
2019-06-30,0.47119440678936747
2019-07-31,0.5492019317120117
2019-08-31,0.4800784718354416
2019-09-30,0.4879886345140708
2019-10-31,0.49064281527952114
2019-11-30,0.41231669383223885
2019-12-31,0.5131994204253184
2020-01-31,0.400663256254494
2020-02-29,0.12099689971488534
2020-03-31,0.4563969422979479
2020-04-30,0.6185010398009102
2020-05-31,0.6937835075786644
2020-06-30,0.6897421675437049
2020-07-31,0.595741060046788
2020-08-31,0.5211555994158843
2020-09-30,0.5551349092449603
2020-10-31,0.6764943350478884
2020-11-30,0.7108700433316684
2020-12-31,0.6935042406441131
2021-01-31,0.5624638841534858
2021-02-28,0.5884091492761783
2021-03-31,0.5394041447178737
2021-04-30,0.6559788940539866
2021-05-31,0.634851749159742
2021-06-30,0.4800658714495742
2021-07-31,0.44356397088706495
2021-08-31,0.4431184369847065
2021-09-30,0.44566519534811316
2021-10-31,0.4361986925481012
2021-11-30,0.5423245832010659
2021-12-31,0.5738338566999847
2022-01-31,0.5691030392310732
2022-02-28,0.43075032480256736
2022-03-31,0.39365487844387703
2022-04-30,0.4309829815371686
2022-05-31,0.3793217901205879
2022-06-30,0.48210205435548487
2022-07-31,0.6767598049443834
2022-08-31,0.6004796644987128
2022-09-30,0.5721108983353005
2022-10-31,0.5728232829702783
2022-11-30,0.5297219498162744
2022-12-31,0.6225372418703282
2023-01-31,0.5741808273566696
2023-02-28,0.47586985545297716
2023-03-31,0.08368201640426098
2023-04-30,0.1815395735561043
2023-05-31,0.21206154197450267
2023-06-30,0.21144366086156713
2023-07-31,0.03477068343160108
2023-08-31,0.10748406469790277
2023-09-30,0.22147950829328786
2023-10-31,0.30309378927601205
2023-11-30,0.3303533053149777
2023-12-31,0.33086034845476686
2024-01-31,0.3604011458721752
2024-02-29,0.4828762737645895
2024-03-31,0.5135418633860727
2024-04-30,0.43579442673113045
2024-05-31,0.44658594502404847
2024-06-30,0.5171318554222193
2024-07-31,0.45211871827970784
2024-08-31,0.5994956363474594
2024-09-30,0.5700542563738072
2024-10-31,0.5134137707951927
2024-11-30,0.3046209956253217
2024-12-31,0.08736902225654342
2025-01-31,0.13417641936140082
2025-02-28,0.31513189786957496
2025-03-31,0.4293868233776109
2025-04-30,0.5571774606013755
2025-05-31,0.5177646473285124
2025-06-30,0.6029439616531861
2025-07-31,0.5275953066605144
2025-08-31,0.4165037307487714
2025-09-30,0.44399015831621363
2025-10-31,0.559606750115875
2025-11-30,0.7499693443519858
